"length(which_indiv)" "ownership" "headsex" "headrace" "headhisp" "headage"
1 2 2 1 1 45
1 1 2 1 1 75
3 1 1 2 1 51
1 1 2 1 1 58
1 1 1 2 1 66
1 1 1 1 1 86
3 1 1 1 1 46
1 1 2 1 1 60
3 1 1 8 2 58
3 1 1 1 1 63
1 1 1 1 2 81
2 1 2 1 1 49
3 1 2 1 1 74
1 1 2 2 1 60
1 1 1 1 1 66
1 1 2 1 1 64
2 2 2 1 2 54
2 1 1 1 1 52
2 1 1 1 1 40
1 1 1 4 1 88
1 1 1 1 1 76
1 2 2 1 1 28
1 1 2 1 1 65
2 2 2 2 1 80
1 1 2 1 5 54
2 2 1 1 1 26
1 1 1 1 1 84
3 1 1 1 1 46
1 2 2 2 1 54
1 2 2 2 1 72
1 1 2 1 1 76
2 1 1 1 1 40
3 1 2 1 2 45
1 1 2 1 1 87
1 1 1 1 1 60
2 1 2 3 1 49
3 1 1 1 1 60
3 2 1 1 1 56
1 2 1 8 1 75
3 1 2 8 1 59
1 1 1 1 1 62
1 1 1 1 3 47
1 1 1 1 1 68
3 2 1 1 1 37
2 2 2 7 2 58
1 1 2 1 1 61
1 1 2 1 1 75
2 1 2 1 3 53
3 1 1 1 1 54
2 1 1 1 1 66
1 1 2 1 1 79
1 2 1 1 1 67
1 1 1 1 1 75
1 1 1 1 1 76
3 1 2 1 1 43
1 1 2 1 1 43
1 1 2 1 1 58
1 1 1 1 1 59
1 2 2 2 1 30
1 1 2 1 1 23
3 1 1 7 5 66
1 1 1 1 1 63
1 1 1 1 1 63
1 1 1 1 1 34
2 1 1 1 5 56
3 1 2 1 1 49
1 1 2 1 1 69
1 1 1 1 1 63
1 1 1 1 1 58
1 1 1 1 1 37
1 1 1 1 1 81
1 1 1 1 1 59
3 1 2 1 1 37
1 1 1 1 1 60
3 1 1 6 1 52
1 1 1 1 1 63
1 1 2 1 2 79
1 1 1 1 1 77
1 1 1 1 1 79
2 2 1 8 1 35
1 1 2 1 1 70
2 1 1 1 1 48
1 1 2 1 1 72
2 1 1 1 1 52
3 1 1 1 1 56
1 2 1 1 5 61
2 1 2 1 1 58
1 1 1 1 1 95
1 1 1 2 1 64
3 1 2 1 1 49
3 1 1 1 2 38
3 2 1 7 5 38
1 1 2 1 1 71
1 1 1 1 1 80
1 1 1 1 1 75
3 1 2 7 2 31
1 1 2 1 1 52
2 1 2 1 1 57
1 1 1 1 1 59
3 1 1 1 2 40
1 1 2 1 1 70
2 1 1 1 1 36
1 1 1 1 1 61
3 1 1 1 1 29
2 1 2 2 1 63
2 1 2 1 1 28
1 1 1 1 1 67
2 2 2 1 1 33
1 2 2 6 1 51
1 1 1 1 1 70
1 1 2 1 1 55
3 2 1 1 2 35
3 1 1 1 1 38
1 1 1 1 1 59
1 1 2 1 1 63
1 1 2 1 1 51
1 1 1 1 1 67
1 1 2 1 1 54
1 2 2 1 1 39
3 1 2 1 1 38
1 1 2 1 1 33
1 1 2 1 1 46
1 2 1 8 1 41
2 1 1 1 1 39
1 1 1 1 1 68
1 1 1 1 1 61
3 1 2 6 1 40
3 2 1 7 2 41
1 1 2 2 1 74
1 1 1 1 1 60
1 2 2 1 1 46
3 1 1 1 1 39
2 2 2 1 1 24
1 2 2 1 1 52
1 1 1 1 1 76
2 1 1 1 1 72
1 1 1 8 1 69
2 1 1 1 1 56
1 2 2 1 2 30
3 1 1 1 1 50
1 1 1 1 1 40
1 1 2 2 1 56
1 1 1 1 1 55
2 1 1 7 1 52
1 1 2 1 1 67
3 1 2 1 1 39
1 1 1 1 1 72
1 2 2 1 1 66
1 1 1 1 1 79
1 1 1 1 1 70
3 1 1 1 1 48
1 1 1 1 1 79
1 1 1 1 1 48
3 1 2 1 1 29
1 1 2 1 1 36
1 1 2 2 1 46
3 2 1 2 1 37
1 1 1 1 1 75
1 2 2 1 1 27
2 1 1 1 1 55
1 2 1 1 1 51
2 2 2 1 1 47
1 2 1 1 2 51
2 2 2 1 2 24
2 1 1 1 1 69
1 1 1 1 1 83
2 1 2 1 1 30
1 1 2 6 1 32
1 2 1 2 1 74
3 1 1 1 1 31
2 2 2 1 2 34
3 1 1 1 1 56
3 1 2 1 1 51
1 2 2 2 1 56
