"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
197 3 1 1 1 NA 3 2 NA NA 1 39
197 4 1 1 1 5 NA 2 NA NA 1 39
197 5 2 1 1 NA 3 2 NA NA 1 39
197 6 NA 1 1 2 3 2 NA NA 1 39
198 2 NA 1 1 85 NA 1 2 1 NA 82
199 2 NA 4 NA NA 7 1 1 4 1 31
199 3 2 NA NA 56 7 1 1 4 1 31
200 2 NA 1 1 66 2 NA NA 1 1 70
201 2 NA 1 1 44 2 1 1 1 NA 51
201 3 2 1 NA NA 3 1 1 1 NA 51
202 2 2 4 NA 27 6 2 2 4 1 30
202 3 NA NA NA 25 6 2 2 4 1 30
202 4 1 4 1 23 6 2 2 4 1 30
202 5 1 NA 1 56 NA 2 2 4 1 30
203 2 2 1 NA 52 2 1 NA 1 1 61
204 2 2 1 5 31 NA 1 1 1 5 45
204 3 1 1 NA 7 3 1 1 1 5 45
205 2 NA NA 1 45 2 1 1 1 1 38
205 3 NA 1 1 5 NA 1 1 1 1 38
206 2 1 NA 1 36 2 NA 2 NA NA 32
206 3 NA 1 1 9 NA NA 2 NA NA 32
206 4 2 NA 1 14 5 NA 2 NA NA 32
206 5 2 1 NA 12 5 NA 2 NA NA 32
206 6 1 NA NA NA 5 NA 2 NA NA 32
207 2 NA 1 1 NA 2 NA 2 1 1 47
207 3 NA 1 1 NA 3 NA 2 1 1 47
208 2 1 1 NA 29 2 1 2 NA NA 31
208 3 NA 1 1 12 3 1 2 NA NA 31
208 4 2 1 1 7 NA 1 2 NA NA 31
208 5 NA 1 1 5 3 1 2 NA NA 31
208 6 2 NA 1 1 3 1 2 NA NA 31
209 2 1 1 1 39 NA 2 NA 1 1 39
210 2 2 1 NA 55 2 NA 1 1 NA 62
211 2 2 1 NA 57 2 1 1 NA 1 57
212 2 NA NA 1 NA 2 2 1 1 1 41
212 3 2 NA NA 2 NA 2 1 1 1 41
213 2 2 1 NA 33 2 1 1 NA NA 31
214 2 2 1 1 71 2 1 1 NA 1 81
215 2 2 1 NA NA 2 1 1 1 NA 66
215 3 2 NA NA 19 8 1 1 1 NA 66
216 2 2 NA NA NA 2 1 1 NA 1 52
216 3 NA 6 1 NA 3 1 1 NA 1 52
216 4 NA 6 NA 13 3 1 1 NA 1 52
216 5 2 NA 1 11 NA 1 1 NA 1 52
216 6 NA 6 1 81 9 1 1 NA 1 52
216 7 2 6 1 NA 9 1 1 NA 1 52
217 2 NA 1 1 50 2 1 NA 1 NA 52
218 2 2 NA 1 66 2 1 1 1 NA 75
219 2 1 1 2 NA 2 2 2 1 2 40
219 3 2 NA 2 18 3 2 2 1 2 40
219 4 1 NA 2 15 3 2 2 1 2 40
220 2 2 6 1 NA 2 1 1 6 1 36
220 3 2 6 1 NA NA 1 1 6 1 36
220 4 2 6 NA 1 NA 1 1 6 1 36
221 2 2 NA NA 42 2 2 1 4 NA 45
221 3 1 4 NA 6 3 2 1 4 NA 45
222 2 2 2 NA 6 NA 2 1 NA 1 33
222 3 1 2 1 NA 3 2 1 NA 1 33
222 4 NA NA NA 26 NA 2 1 NA 1 33
223 2 2 1 1 NA NA 1 NA 1 1 37
223 3 1 1 1 16 NA 1 NA 1 1 37
223 4 1 NA 1 14 3 1 NA 1 1 37
224 2 NA 1 1 49 2 1 1 1 NA 64
